S.No,Name,Year of Birth,Age,Gender,Address,Phone Number,Email,Number of Kids,Accomodation (Rent/Own),Anual Income,Sppeding tickets per year
5342,Luis Herrera,1970,51,Male,661/ CEBERRY/ Rutherford/ Union Mills/ NC/ 28167,(910)697-4361,luisher676@gmail.com,0,Own,60690.96,0
5343,Ana Boone,2001,20,Female,9181/ BUMBLE BEE/ Albany/ Albany/ NY/ 12249,(332)701-5567,a_boon@aol.com,2,Rent,40929.9,16
5344,Ernest Sloan,1966,55,Male,8310/ LANGFORD/ Forest/ Laona/ WI/ 54541,(715)446-8194,ernes-sloan2008@yahoo.fr,0,Own,92339.94,0
5345,Norma Bridges,1960,61,Female,4605/ BILLIEM/ Wells/ Ossian/ IN/ 46777,(219)967-3216,norma_bridge2911@orange.fr,0,Own,55894.08,0
5346,Curtis Johns,1974,48,Male,5169/ N IH 35 NB TO BERRYWOOD/ District Of Columbia/ Washington/ DC/ 20336,(202)499-6148,cur_j@yahoo.fr,0,Own,69606.9,0
5347,Kelly Ewing,1996,25,Female,9383/ COMANCHE/ Dutchess/ Pine Plains/ NY/ 12567,(585)502-9201,kelly-ewin2710@hotmail.com,0,Own,26956.38,0
5348,Diego Morgan,2006,15,Male,500/ 2ND/ Randolph/ Asheboro/ NC/ 27203,(704)632-8134,di.morga14@hotmail.fr,0,Rent,0.0,18
5349,Johnny Ball,1980,41,Male,6171/ GALWAY/ Shasta/ Old Station/ CA/ 96071,(209)482-6572,j-b28@wanadoo.fr,2,Rent,26643.54,2
5350,Holly Pittman,1988,33,Female,6612/ 6TH/ Snohomish/ Startup/ WA/ 98293,(425)330-5410,holly-pitt293@orange.fr,0,Own,65852.82,0
5351,Anna Foreman,1978,43,Female,224/ DAGAMA/ Weber/ Ogden/ UT/ 84402,(801)693-1995,anna_for@aol.com,0,Rent,36185.16,7
5352,Nichole Good,1985,36,Female,7239/ CHURCHILL DOWNS/ Wilkin/ Campbell/ MN/ 56522,(218)378-7925,nic-goo1512@aol.com,0,Rent,8029.56,6
5353,Todd Carr,1959,62,Male,1595/ CASPIAN/ Portage/ Brady Lake/ OH/ 44211,(937)703-5842,t.c@orange.fr,0,Own,90306.48,0
5354,Ian Dale,2009,13,Male,8073/ TROPHY/ Lake/ Gary/ IN/ 46407,(765)702-9914,ian-dale@msn.com,0,Rent,0.0,0
5355,Darrell Stewart,1969,52,Male,7212/ LAGUNA VISTA/ / Apo/ AE/ 9225,(569)784-6294,darrell.st18@yahoo.fr,0,Own,51722.88,0
5356,David Bell,1962,60,Male,6936/ INWOOD/ Santa Clara/ San Jose/ CA/ 95115,(424)541-3871,david-be02@yahoo.fr,0,Rent,11105.82,0
5357,Dorothy Holloway,1959,62,Female,550/ CENTRAL/ Culpeper/ Boston/ VA/ 22713,(540)536-0975,dorothy_holloway@yahoo.com,0,Own,5474.7,0
5358,Kai Noble,2011,10,Male,8115/ DECKHOUSE/ Sumter/ Horatio/ SC/ 29062,(843)214-1209,k.n20@hotmail.co.uk,0,Rent,0.0,0
5359,Jillian Irwin,1999,22,Female,3179/ COPPERHEAD/ Calhoun/ Chloe/ WV/ 25235,(681)628-6988,jillia.irw1999@aol.com,0,Rent,18770.4,1
5360,Rickey Potter,1956,65,Male,5072/ EGGLESTON/ Saint Charles/ West Alton/ MO/ 63386,(417)411-4915,rickey.potter@gmail.com,1,Own,99535.26,0
5361,Dawn Fernandez,1988,33,Female,6097/ MOSS/ Cooper/ Wooldridge/ MO/ 65287,(816)841-0175,dawn-fernandez365@orange.fr,0,Rent,25079.34,12
5362,Jeremy Mayer,1991,30,Male,5660/ CENTRE CREEK/ Benton/ Monroe/ OR/ 97456,(458)289-6170,jer.ma24@hotmail.com,3,Own,86239.56,0
5363,Charlotte Alvarez,1954,67,Female,2061/ DAGON/ San Diego/ San Diego/ CA/ 92128,(805)552-1592,cha.alvarez2309@yahoo.fr,0,Rent,3128.4,0
5364,Christopher Farley,1995,27,Male,1429/ EBONY/ Lucas/ Toledo/ OH/ 43666,(234)543-9364,christopher.fa020395@msn.com,1,Own,57875.4,2
5365,Harold Garrett,1975,47,Male,2207/ LEONA/ Marion/ Aurora/ OR/ 97002,(503)733-8814,haroldg04@aol.com,0,Own,61577.340000000004,2
5366,Tyler Richard,1999,22,Male,671/ CORALBERRY/ Marion/ Indianapolis/ IN/ 46298,(812)801-4210,tyler.richard@msn.com,3,Own,55789.8,4
5367,Annie Drake,1959,62,Female,6269/ WAR/ Queens/ Bayside/ NY/ 11359,(917)726-0489,anni.drak19@hotmail.com,3,Own,79304.94,1
5368,Maya Boone,2011,11,Female,7338/ LAGUNA LOMA/ Smith/ Tyler/ TX/ 75710,(832)658-6797,maya.boone247@hotmail.com,0,Rent,0.0,0
5369,Mildred Baldwin,1949,72,Female,9477/ CASTLE VIEW/ Grand Forks/ Grand Forks/ ND/ 58207,(701)679-8252,mildred-baldwin141049@yahoo.fr,0,Own,78939.96,0
5370,David Chang,1964,58,Male,2508/ CAVA/ Washington/ Kingston/ RI/ 2881,(401)698-2141,david.cha0601@wanadoo.fr,0,Own,12670.02,0
5371,Abigail Jordan,1984,38,Female,3573/ LEATHERWOOD/ Clarion/ Lamartine/ PA/ 16375,(814)256-9509,abigail_jorda762@gmail.com,0,Own,69867.6,0
5372,Kathleen Sargent,1994,27,Female,1084/ DORAL/ Harrison/ Depauw/ IN/ 47115,(574)987-7226,kathleen-sargent09@orange.fr,0,Rent,16371.960000000001,13
5373,Samuel Wynn,1965,56,Male,4360/ DRAKE ELM/ Rice/ Raymond/ KS/ 67573,(316)536-1008,sa.wynn56@hotmail.com,3,Own,42337.68,1
5374,Malik Yang,1994,27,Male,5326/ PARKVIEW/ Du Page/ Carol Stream/ IL/ 60128,(779)395-6862,mali.yang25@yahoo.fr,0,Rent,39626.4,0
5375,Gabriella Best,2008,13,Female,7142/ BILBOA/ Lycoming/ Jersey Shore/ PA/ 17723,(484)966-9644,gabr.best2807@yahoo.fr,0,Rent,0.0,0
5376,Tanner Francis,2000,21,Male,8533/ GRAND/ Van Buren/ Milton/ IA/ 52570,(319)888-1436,tann.fr@msn.com,0,Own,56415.48,11
5377,Colleen Oneil,1966,55,Female,1299/ CONFIDENCE/ Taylor/ Abilene/ TX/ 79603,(830)423-0332,col.o@orange.fr,0,Own,72631.02,0
5378,Jonathan Downs,1992,30,Male,8592/ N IH 35 NB TO 15TH/ Sullivan/ Westbrookville/ NY/ 12785,(718)751-4341,jona.down@wanadoo.fr,0,Own,5787.54,8
5379,Amy Bender,1965,57,Female,7376/ CATALONIA/ Macon/ Otto/ NC/ 28763,(336)208-6797,amybender488@hotmail.co.uk,0,Own,17675.46,2
5380,Angela Blackwell,1958,63,Female,7846/ GLACIER BAY/ Clay/ Fort Gaines/ GA/ 31751,(770)473-9779,angelablackwell23@aol.com,0,Own,85666.02,0
5381,Alexander Sandoval,2005,16,Male,6333/ GEORGE BUSH/ Bexar/ San Antonio/ TX/ 78245,(432)816-8338,alexa.sandoval@gmail.com,0,Rent,7247.46,13
5382,Joseph Montoya,1960,61,Male,7912/ 10TH/ Dodge/ Hayfield/ MN/ 55940,(952)676-1345,josep.montoy3006@aol.com,2,Own,104436.42,0
5383,Nathan Dotson,2017,4,Male,6953/ ANTOINETTE/ Sabine/ Pleasant Hill/ LA/ 71065,(504)671-1843,nathandot2017@hotmail.com,0,Rent,0.0,0
5384,Nicolas Meyers,1998,23,Male,6460/ MORGANS POINT/ Spartanburg/ Fairforest/ SC/ 29336,(843)246-9730,nic.meyers@wanadoo.fr,2,Own,37645.08,0
5385,Cassandra Frederick,1984,37,Female,2889/ DESTINY HILLS/ Louisa/ Louisa/ VA/ 23093,(703)635-1354,cassandr.frederick12@hotmail.fr,1,Rent,2137.7400000000002,10
5386,Dean Burnett,1966,56,Male,3046/ COLLINGSWORTH/ Pike/ Elkhorn City/ KY/ 41522,(606)697-7913,deaburnett2303@msn.com,0,Own,56311.2,0
5387,Nancy Bradshaw,1985,36,Female,920/ CUPID/ Union/ Mount Holly/ AR/ 71758,(870)598-3691,nancy-bradshaw@hotmail.fr,0,Own,85874.58,0
5388,Leslie Pitts,1996,26,Female,7282/ SHADY GROVE/ Windsor/ White River Junction/ VT/ 5001,(802)740-1499,lesli.pitts@msn.com,0,Rent,8394.54,0
5389,Richard Carlson,1954,67,Male,618/ DUGAN/ Marshall/ Lacon/ IL/ 61540,(309)607-7806,richard.carlson1954@msn.com,0,Own,90723.6,0
5390,Joseph House,1991,31,Male,975/ CRYSTAL WATER/ Los Angeles/ Beverly Hills/ CA/ 90211,(949)535-8790,joseph.house09@gmail.com,0,Rent,4744.74,4
5391,Jacob Vasquez,1993,28,Male,4345/ BRYONWOOD/ Sabine/ Milam/ TX/ 75959,(830)432-9859,jacob.vasquez1993@wanadoo.fr,1,Own,49011.6,0
5392,Roberta Mann,1960,61,Female,7084/ 49TH HALF/ Henry/ Montrose/ MO/ 64770,(557)765-6532,robertamann2812@gmail.com,1,Rent,22576.62,0
5393,Terrance Ingram,1975,47,Male,249/ N IH 35 SB TO RIVERSIDE/ Vermilion/ East Lynn/ IL/ 60932,(872)599-3250,terran-ingram17@yahoo.com,2,Own,64914.3,3
5394,Duane Pate,1978,43,Male,5375/ HARVEST MOON/ Nicholas/ Nettie/ WV/ 26681,(304)931-9701,duane.p@yahoo.fr,2,Own,110380.38,0
5395,Tricia Hendricks,1974,48,Female,2237/ CASTLEWOOD/ Monroe/ Marathon Shores/ FL/ 33052,(305)283-3389,tric-hendr27@orange.fr,1,Rent,18978.96,0
5396,Karla Wagner,1965,56,Female,544/ REVERE/ Owen/ Perry Park/ KY/ 40363,(859)657-9780,karl-wagn280865@yahoo.com,0,Own,68355.54,2
5397,Marcus Vaughn,1985,37,Male,172/ 27TH/ Clay/ Centerpoint/ IN/ 47840,(812)794-0916,ma-vaughn1985@aol.com,0,Own,62411.58,0
5398,Lori Oneil,1981,41,Female,1528/ DOVER HILL/ Madison/ Pinson/ TN/ 38366,(423)363-8026,lor.oneil21@hotmail.com,2,Own,72787.44,4
5399,Clinton Carr,1989,32,Male,7515/ COLONY PARK/ Washtenaw/ Ann Arbor/ MI/ 48109,(616)381-4697,clinton.carr1989@yahoo.fr,0,Rent,17675.46,3
5400,Derek Gordon,2006,15,Male,5289/ AMBERLY/ Escambia/ Pensacola/ FL/ 32534,(850)231-6104,dere-gordon14@yahoo.com,0,Rent,0.0,0
5401,Emerson Jefferson,2014,7,Female,5583/ GAZELLE/ Lincoln/ Lincolnton/ GA/ 30817,(762)356-7451,emers_jeffer2014@yahoo.fr,0,Rent,0.0,0
5402,Janis Goff,1940,81,Female,7440/ 14TH/ Hennepin/ Maple Plain/ MN/ 55359,(507)450-7854,jan-g1940@yahoo.com,2,Own,58866.06,0
5403,Kimberly Willis,1989,32,Female,3186/ PRIMWOOD/ Pottawattamie/ Avoca/ IA/ 51521,(712)687-3679,kimberly-willi1989@msn.com,1,Rent,37488.66,0
5404,Yvette Dixon,1967,55,Female,7776/ DIXIE/ Allegheny/ Sewickley/ PA/ 15189,(412)315-9118,yvet_di509@hotmail.fr,0,Own,14390.64,0
5405,Autumn Hawkins,1998,23,Female,4713/ CHALK HILL/ Wake/ Raleigh/ NC/ 27621,(743)563-2859,auhaw1998@hotmail.fr,0,Rent,44527.56,0
5406,Jordan Berg,1994,27,Female,2636/ COLLEGE/ Adams/ Adams/ WI/ 53910,(715)412-4426,j.be@aol.com,2,Rent,26330.7,0
5407,Elizabeth Cross,2003,18,Female,1277/ 40TH/ Middlesex/ Urbanna/ VA/ 23175,(571)495-3068,eliz.cr914@yahoo.com,0,Rent,17779.74,0
5408,Loretta Santos,1969,52,Female,2425/ 24TH/ Rapides/ Longleaf/ LA/ 71448,(318)572-7335,loretta.santos31@yahoo.fr,0,Own,56728.32,0
5409,Trevor Calderon,1970,52,Male,8425/ N IH 35 SB TO KORMAN/ Hartford/ Milldale/ CT/ 6467,(959)320-5514,trevor.ca1901@orange.fr,0,Own,25131.48,2
5410,Harold Guthrie,1948,73,Male,5520/ MONROE/ San Diego/ San Diego/ CA/ 92104,(442)284-0115,harold.guthr@hotmail.co.uk,0,Own,90932.16,0
5411,Evan Pruitt,1980,42,Male,4241/ WILLIAM CANNON/ Durham/ Durham/ NC/ 27715,(336)424-1814,evan.pruitt05@hotmail.com,0,Own,57771.12,4
5412,Ernest Gonzales,1908,113,Male,3076/ DONNELL/ Bergen/ Wyckoff/ NJ/ 7481,(862)886-0282,e_gonz010708@msn.com,0,Own,84258.24,0
5413,Allen Kramer,1959,62,Male,5656/ HARMONY HILL/ Oconto/ Mountain/ WI/ 54149,(608)524-7373,a.kramer1607@yahoo.fr,0,Own,108764.04000000001,0
5414,Carlos Church,1980,41,Male,5745/ CATALINA/ Allegheny/ Oakdale/ PA/ 15071,(484)757-2475,c.churc@orange.fr,2,Rent,31909.68,0
5415,Terrence Merritt,1971,50,Male,2130/ ANN/ Taney/ Point Lookout/ MO/ 65726,(660)950-3839,terr-m0109@yahoo.fr,3,Own,45257.520000000004,0
5416,Angel Hodges,1999,22,Male,8471/ CORALBERRY/ Smith/ Tyler/ TX/ 75701,(254)536-5119,angel_hodge060999@gmail.com,0,Rent,20073.9,0
5417,Alvin Jennings,1968,53,Male,4102/ COLLINWOOD WEST/ Cameron/ Harlingen/ TX/ 78553,(432)488-0329,alvin-jennings@yahoo.com,1,Own,8238.12,0
5418,Sara Mccall,1988,33,Female,6437/ DOUBLE ELM/ Floyd/ Allen/ KY/ 41601,(859)701-1524,sa-mccall1988@gmail.com,0,Rent,10115.16,0
5419,Chad Shaffer,1982,40,Male,1730/ CASTLEDALE/ Canyon/ Nampa/ ID/ 83653,(208)432-1159,chad_shaffer1982@orange.fr,1,Rent,37280.1,3
5420,Alfred Hartman,1969,52,Male,5480/ TASSEY/ Dixie/ Cross City/ FL/ 32628,(941)778-6715,alf.hartma1969@msn.com,0,Own,46561.020000000004,0
5421,Gary Ward,1964,58,Male,7855/ HEDGEROW/ Loudoun/ Hamilton/ VA/ 20158,(540)590-2842,ga.w23@orange.fr,2,Rent,40929.9,0
5422,Connor Long,2016,5,Male,2030/ BRIDLE/ Mifflin/ Allensville/ PA/ 17002,(215)235-2994,connor.long020716@msn.com,0,Rent,0.0,0
5423,Jill Cunningham,1963,58,Female,6790/ DANIEL BOONE/ Westmoreland/ Scottdale/ PA/ 15683,(412)395-5613,jill_cun1963@orange.fr,0,Own,78001.44,0
5424,Eliza Hull,2016,5,Female,8285/ ANNIE/ Hamilton/ Terrace Park/ OH/ 45174,(513)368-5576,eliza_hul181@orange.fr,0,Rent,0.0,0
5425,Leilani Nichols,2014,8,Female,995/ BRAES VALLEY/ Collin/ Plano/ TX/ 75024,(430)902-6498,leilani.nic2603@msn.com,0,Own,0.0,0
5426,Sue Moon,1960,61,Female,6442/ CHALLA/ / Apo/ AE/ 9213,(228)728-2607,sue-moon14@aol.com,2,Own,74873.04,0
5427,Sophia Estes,2016,5,Female,7687/ AMESWOOD/ Essex/ North Concord/ VT/ 5858,(802)524-8159,so.estes041016@yahoo.com,0,Rent,0.0,0
5428,Devin Sargent,1983,38,Male,7925/ N CAP TX SB TO 2222 WB/ Ingham/ Lansing/ MI/ 48910,(586)989-1074,d-sarg@yahoo.fr,0,Own,69346.2,2
5429,Allison Roach,1989,32,Female,3952/ GALEWOOD/ / Fpo/ AA/ 34090,(818)565-2356,al.roach1005@gmail.com,1,Own,62411.58,0
5430,Shawn Branch,2006,15,Male,6191/ HURST/ Orange/ Santa Ana/ CA/ 92799,(831)837-7619,shaw.bran2006@msn.com,0,Rent,0.0,6
5431,Grant Beck,1997,25,Male,8005/ EDDYSTONE/ Passaic/ Wanaque/ NJ/ 7465,(732)573-8055,gra.beck951@yahoo.com,0,Own,48542.340000000004,0
5432,Claire Lindsey,1996,25,Female,4049/ 3RD/ Cheboygan/ Burt Lake/ MI/ 49717,(947)689-4459,claire.li1996@yahoo.fr,1,Own,63871.5,0
5433,Kelly Quinn,1954,67,Male,6886/ DROSSETT/ Miami-Dade/ Miami/ FL/ 33142,(786)227-2129,k.quin24@hotmail.com,3,Rent,4275.4800000000005,0
5434,Summer Garcia,2005,17,Female,5880/ NEVADA/ Denver/ Denver/ CO/ 80257,(719)567-4781,sum_ga@gmail.com,0,Rent,40408.5,0
5435,Teresa Patel,1976,46,Female,6264/ DAUPHINE/ Ashtabula/ Rock Creek/ OH/ 44084,(937)281-7702,teresa.patel@hotmail.fr,1,Rent,3128.4,5
5436,Donna Mercado,1969,53,Female,6494/ DOVEHILL/ Natchitoches/ Powhatan/ LA/ 71066,(337)204-5420,donna_mercad0402@yahoo.fr,2,Rent,42650.520000000004,0
5437,Gerald Juarez,1983,38,Male,8185/ CLAIRESS/ Jones/ Center Junction/ IA/ 52212,(319)655-9189,ge.ju@gmail.com,0,Rent,9750.18,4
5438,Diego Bryan,2013,8,Male,9522/ FITZHUGH/ Deschutes/ Bend/ OR/ 97701,(541)364-0612,diego.bry23@yahoo.fr,0,Rent,0.0,0
5439,Kristen Cummings,1962,60,Female,9711/ WONSLEY/ Jasper/ Hardeeville/ SC/ 29927,(843)268-2358,krist-cummings@yahoo.fr,1,Rent,7299.6,0
5440,Angel Love,2011,11,Male,2289/ YALE/ Vernon/ Nevada/ MO/ 64772,(557)219-2636,angel_love2011@hotmail.com,0,Rent,0.0,0
5441,Garrett Hunter,1984,37,Male,5863/ EBONY/ Lycoming/ Trout Run/ PA/ 17771,(223)811-4211,garr_hu@aol.com,0,Rent,37123.68,7
5442,Shaun Dawson,1981,40,Male,9251/ DARLEEN/ Braxton/ Flatwoods/ WV/ 26621,(304)909-5372,shaun.dawson25@hotmail.com,0,Own,107043.42,5
5443,William Gill,2014,7,Male,8644/ 10TH HALF/ Powder River/ Powderville/ MT/ 59345,(406)449-8690,william-gill2014@orange.fr,0,Rent,0.0,0
5444,Nevaeh Lewis,2001,20,Female,2788/ FIELDSTONE/ Mercer/ Saint Henry/ OH/ 45883,(380)999-0824,nevaeh-lewis@gmail.com,3,Rent,33630.3,0
5445,Molly Whitfield,1987,35,Female,9952/ DOYAL/ Franklin/ North Bangor/ NY/ 12966,(917)542-4752,mo.whitfie25@aol.com,0,Rent,10636.56,4
5446,Toni Hines,1954,68,Female,3716/ N IH 35 SB TO DIAMONDBACK/ Ventura/ Simi Valley/ CA/ 93065,(805)414-7028,t_hine1954@orange.fr,0,Own,76228.68000000001,0
5447,Janet Forbes,1938,83,Female,8606/ TULAROSA/ Jefferson/ Texico/ IL/ 62889,(847)351-1450,janet_forbes@hotmail.fr,0,Own,33108.9,0
5448,Jocelyn Sampson,2007,15,Female,7324/ SWISHER/ Washington/ Mackville/ KY/ 40040,(606)231-1769,jocelyn.sampso@yahoo.fr,0,Rent,0.0,0
5449,Kaitlin Stephenson,1993,28,Female,3041/ CORBIN CREEK/ Gregory/ Dallas/ SD/ 57529,(605)330-5616,kaitli-stephenson697@gmail.com,3,Own,15016.32,19
5450,Anita Byrd,1963,58,Female,175/ GONZALES/ San Juan/ San Juan/ PR/ 921,(939)637-6095,anita.by230963@aol.com,1,Own,31596.84,0
5451,Ronnie Rivers,1979,42,Male,357/ DEEPWOOD/ Alamosa/ Alamosa/ CO/ 81101,(970)264-4560,ronnie.rivers1979@msn.com,0,Own,88429.44,0
5452,Antoinette Willis,1926,95,Female,2433/ 2ND/ Putnam/ Hometown/ WV/ 25109,(304)778-8182,antoinette_willis1926@hotmail.com,1,Own,39939.24,0
5453,Emery Allen,2015,6,Female,9947/ DONALD/ Fulton/ Palmetto/ GA/ 30268,(470)923-8091,emea2610@hotmail.fr,0,Rent,0.0,0
5454,Robin Robbins,1965,57,Female,7361/ BULLET/ Westchester/ Purchase/ NY/ 10577,(917)810-8258,ro_robbins@aol.com,0,Own,37853.64,1
5455,Ashlee Spears,1980,42,Female,1380/ HALL/ Jasper/ Carterville/ MO/ 64835,(816)705-4490,ashleespe1503@gmail.com,0,Own,18040.44,0
5456,Trinity Barton,2003,18,Female,6477/ 47TH/ Saint Marys/ Saint Inigoes/ MD/ 20684,(667)472-0938,trin-bar090803@wanadoo.fr,0,Rent,32483.22,8
5457,Steven Daugherty,1945,76,Male,2306/ BESCOTT/ Gates/ Hobbsville/ NC/ 27946,(252)992-0194,ste.daugherty100945@yahoo.fr,0,Own,85092.48,0
5458,Madeline Howell,1914,107,Female,3498/ HARVEY/ / FPO/ AP/ 96674,(950)354-8063,m.how3012@msn.com,0,Rent,26070.0,0
5459,Aiden Oconnor,2013,8,Male,8346/ N IH 35 NB TO REINLI/ Geary/ Fort Riley/ KS/ 66442,(913)445-6660,aiden.oco@hotmail.com,0,Rent,0.0,0
5460,Marie Wilson,1970,51,Female,9600/ DULAC/ Westchester/ Port Chester/ NY/ 10573,(585)496-8741,m_w2709@msn.com,0,Own,32796.06,0
5461,Elaine Sawyer,1955,66,Female,8084/ GEORGIAN/ Adams/ Dupont/ CO/ 80024,(720)732-7504,elaine-saw379@hotmail.fr,3,Own,69867.6,0
5462,Denise Ayala,1960,61,Female,9804/ CRAGGY/ Beaufort/ Hilton Head Island/ SC/ 29928,(803)472-1379,de.ayala1960@gmail.com,0,Own,64236.48,0
5463,Alan Rivera,2017,5,Male,7365/ DUNSTAN/ Mckinley/ Rehoboth/ NM/ 87322,(575)345-8493,al.rivera635@hotmail.co.uk,0,Rent,0.0,0
5464,Dana Cox,1984,38,Female,8384/ BROOMFLOWER/ Polk/ Lakeland/ FL/ 33804,(239)993-3321,dana.c1984@gmail.com,2,Own,42598.38,0
5465,Molly Cervantes,2008,13,Female,9460/ PELICAN/ Allegheny/ Curtisville/ PA/ 15032,(484)728-7954,molly.cer25@wanadoo.fr,0,Rent,0.0,0
5466,Skylar Cortez,2013,8,Female,2113/ BRYCE CANYON/ Saint Louis City/ Saint Louis/ MO/ 63195,(816)785-2286,sk.c11@gmail.com,0,Rent,0.0,0
5467,Joel Wagner,1944,77,Male,8523/ N IH 35 SB TO BARWOOD/ Grant/ Mount Hope/ WI/ 53816,(715)919-7020,joel_wag30@hotmail.co.uk,0,Own,89680.8,0
5468,Richard Diaz,2017,4,Male,4003/ N 35 SB TO CESAR CHAVEZ/ Klickitat/ Klickitat/ WA/ 98628,(509)710-2788,richadiaz2017@hotmail.fr,0,Rent,0.0,0
5469,Aidan Figueroa,2006,16,Male,5591/ DAGAMA/ Grays Harbor/ Mccleary/ WA/ 98557,(509)977-3642,aidan_figuer10@yahoo.com,0,Rent,47812.38,0
5470,Anthony Evans,1978,43,Male,4755/ CLEAROCK/ Florence/ Florence/ SC/ 29505,(803)917-5524,anthony.evans1978@msn.com,2,Rent,20282.46,5
5471,Vickie Jefferson,1958,63,Female,7509/ GALWAY/ Dallas/ Dallas/ TX/ 75392,(409)323-4021,vickie.jefferson1958@yahoo.com,0,Own,54121.32,0
5472,Adalyn Shaw,2018,4,Female,6793/ 29TH/ Oldham/ Vega/ TX/ 79092,(281)655-3374,adalyn.s@yahoo.com,0,Rent,0.0,0
5473,Daisy Swanson,1994,27,Female,7173/ BENELVA/ Chaves/ Roswell/ NM/ 88202,(575)390-8967,dais-swanson80@yahoo.com,0,Rent,7977.42,21
5474,Cheryl Eaton,1983,38,Female,9241/ N IH 35 NB TO 1825/ King/ Seattle/ WA/ 98118,(564)822-8699,c-ea1008@hotmail.com,2,Own,69919.74,8
5475,Elaine Cain,1960,61,Female,2442/ ECKERT/ Powder River/ Sonnette/ MT/ 59348,(406)645-2656,elainecain@hotmail.co.uk,0,Own,60117.42,0
5476,Jasmin Calhoun,1998,23,Female,7013/ RIVERSIDE/ Bergen/ Hackensack/ NJ/ 7602,(609)571-1802,j.calhoun1412@orange.fr,2,Rent,22785.18,2
5477,Christian Swanson,2005,16,Male,9773/ POYNETTE/ Clackamas/ Boring/ OR/ 97009,(458)409-0555,c.swanso1611@hotmail.fr,0,Rent,2502.7200000000003,0
5478,Dakota Jefferson,1996,25,Male,9234/ INWOOD/ Mclean/ Cropsey/ IL/ 61731,(773)704-9150,dakota.j26@wanadoo.fr,2,Own,65748.54,0
5479,Chloe Dillon,2009,13,Female,8238/ CASCADE/ King/ Renton/ WA/ 98055,(425)306-3877,ch_d2009@hotmail.fr,0,Own,0.0,0
5480,Audrey Rocha,1951,70,Female,6993/ CONCORD/ Pearl River/ Nicholson/ MS/ 39463,(601)522-9345,ar1951@yahoo.com,0,Own,14651.34,0
5481,Catherine Dickson,1973,48,Female,5032/ GRANT/ Washington/ Saint James/ MD/ 21781,(667)600-8163,cathe.dickson@yahoo.com,0,Rent,37332.24,5
5482,Douglas Leon,1970,51,Male,4217/ BEVERLY HILLS/ Auglaize/ New Hampshire/ OH/ 45870,(419)605-5351,do_leon2008@yahoo.fr,0,Own,50680.08,0
5483,Kevin Macdonald,1989,32,Male,4231/ BENELVA/ Orange/ Chester/ NY/ 10918,(914)341-1301,ke-macdona1989@gmail.com,0,Rent,44006.16,10
5484,Josiah Mcdowell,2000,21,Male,5035/ CARRIE MANOR/ Mecklenburg/ Charlotte/ NC/ 28225,(252)944-7397,josiah-mcdowell628@msn.com,2,Rent,13973.52,0
5485,Juliana Parrish,2014,7,Female,9185/ BETH/ Musselshell/ Roundup/ MT/ 59073,(406)803-3126,julparrish20@msn.com,0,Rent,0.0,0
5486,Faye Molina,1934,87,Female,6582/ COVERED WAGON/ Travis/ Mc Neil/ TX/ 78651,(469)222-6930,f.mol230534@hotmail.com,3,Own,8655.24,0
5487,June Preston,1959,63,Female,492/ KIEV/ Parker/ Peaster/ TX/ 76485,(210)655-1194,ju.preston160459@yahoo.com,0,Own,85248.9,0
5488,Karen Roach,1946,75,Female,8438/ BILLIEM/ Montcalm/ Trufant/ MI/ 49347,(517)264-8870,karenroa1705@wanadoo.fr,1,Rent,36810.840000000004,0
5489,Dean Harper,1954,67,Male,7541/ AUSTRINA/ Kanawha/ Hugheston/ WV/ 25110,(304)291-0328,dea.harper23@wanadoo.fr,0,Own,51827.16,0
5490,Layla Fulton,2017,4,Female,7366/ DEXMOOR/ Bethel/ Sleetmute/ AK/ 99668,(907)554-0741,layla_fulton200717@yahoo.fr,0,Rent,0.0,0
5491,Marcus Winters,1980,41,Male,314/ DULCET/ Harrison/ Salem/ WV/ 26426,(681)883-0056,marcwi85@orange.fr,0,Own,113925.9,1
5492,Wayne Fuller,1985,37,Male,1849/ N IH 35 SB TO RIVERSIDE/ Llano/ Llano/ TX/ 78643,(830)862-3206,wayne.fuller1104@hotmail.co.uk,2,Own,104592.84,1
5493,Sydney Compton,2010,12,Female,9891/ 2ND/ Kingsbury/ Lake Preston/ SD/ 57249,(605)727-4826,sydney.c2010@orange.fr,0,Rent,0.0,0
5494,Suzanne Mcmillan,1970,51,Female,8480/ BRANSFORD/ Oldham/ Pewee Valley/ KY/ 40056,(502)797-9340,suz-mcmi@orange.fr,2,Own,63871.5,0
5495,Claire Miller,2010,11,Female,502/ DERVINGHAM/ Queens/ Jamaica/ NY/ 11434,(212)375-3097,claire.miller@yahoo.com,0,Rent,0.0,0
5496,Blake Pugh,2005,16,Male,148/ WELLS BRANCH/ Kent/ Clayton/ DE/ 19938,(302)259-1436,blapugh@aol.com,0,Rent,625.6800000000001,6
5497,Mackenzie Todd,1998,23,Female,9850/ ANNA/ Davidson/ Nashville/ TN/ 37228,(615)530-9180,macke.to301198@msn.com,2,Rent,312.84000000000003,0
5498,Jordan Wilkinson,1980,41,Female,5015/ BENDING OAK/ Carroll/ Lidderdale/ IA/ 51452,(712)695-1850,jorda-wilkinso724@hotmail.fr,1,Own,70701.84,0
5499,Tanya Shepard,1981,40,Female,2248/ AUSTRINA/ Bell/ Troy/ TX/ 76579,(903)598-0108,tanya-shepar2211@hotmail.com,0,Rent,8915.94,2
